Problem,time,iterations,usage_ratio_per_machine,total_allowed_machine_usage,total_machine_usage,total_machine_usage_ratio
Problem 1 in file 1,3416.96425,5,0.9 1.3 1.4 1.1 0.9,168,188,1.119047619047619
Problem 2 in file 1,1.0875,6,1.0 1.4 1.2 0.9 0.8,203,208,1.0246305418719213
Problem 3 in file 1,0.745708,4,0.8 1.5 1.1 0.6 1.0,188,190,1.0106382978723405
Problem 4 in file 1,0.8000839999999999,5,1.1 1.3 1.2 0.8 1.0,187,201,1.0748663101604279
Problem 5 in file 1,0.828291,5,0.8 1.4 1.2 0.7 1.6,185,213,1.1513513513513514
Problem 1 in file 2,1.333792,7,1.2 1.1 1.1 0.9 1.1,250,268,1.072
Problem 2 in file 2,0.9648340000000001,5,0.9 0.9 1.1 1.0 1.2,238,247,1.0378151260504203
Problem 3 in file 2,1.119542,6,1.2 0.9 1.3 0.8 1.0,235,245,1.0425531914893618
Problem 4 in file 2,0.973583,5,1.1 1.0 1.3 1.2 1.3,255,293,1.1490196078431372
Problem 5 in file 2,0.931625,5,1.3 0.9 0.8 1.3 1.1,231,245,1.0606060606060606
Problem 1 in file 3,1.228292,5,0.9 1.1 1.0 1.2 0.9,302,310,1.0264900662251655
Problem 2 in file 3,1.518917,7,1.1 1.2 1.2 1.2 0.9,268,295,1.1007462686567164
Problem 3 in file 3,1.300417,5,1.2 1.1 0.9 0.9 1.2,297,313,1.0538720538720538
Problem 4 in file 3,1.212458,5,1.0 1.0 1.2 0.9 0.9,305,312,1.022950819672131
Problem 5 in file 3,1.318541,6,0.8 1.1 1.4 1.1 1.2,285,316,1.1087719298245613
Problem 1 in file 4,1.539667,6,0.8 1.2 1.0 1.1 1.0,355,360,1.0140845070422535
Problem 2 in file 4,1.324167,5,1.1 1.1 1.2 1.2 0.7,365,380,1.0410958904109588
Problem 3 in file 4,1.3346250000000002,5,0.9 1.2 0.9 1.1 1.2,367,389,1.0599455040871935
Problem 4 in file 4,1.541333,6,1.1 1.1 0.9 1.0 1.1,356,372,1.0449438202247192
Problem 5 in file 4,1.8165,7,1.2 1.2 1.0 1.0 1.1,349,388,1.1117478510028653
Problem 1 in file 5,1.90475,6,0.8 1.5 0.4 1.1 0.9 1.5 1.5 1.4,274,307,1.1204379562043796
Problem 2 in file 5,1.6119999999999999,5,1.0 1.1 1.3 0.7 1.1 0.9 1.3 0.5,280,285,1.0178571428571428
Problem 3 in file 5,1.960167,6,0.6 0.8 1.0 1.2 0.7 1.2 1.2 1.0,296,278,0.9391891891891891
Problem 4 in file 5,1.794875,5,1.5 1.1 0.5 1.2 0.9 1.2 1.1 0.8,273,280,1.0256410256410255
Problem 5 in file 5,1.810208,5,1.2 0.9 1.4 1.1 0.9 0.9 0.9 0.9,295,303,1.0271186440677966
Problem 1 in file 6,8.386875,5,0.8 1.4 1.2 1.3 0.8 0.9 0.8 1.0,379,393,1.036939313984169
Problem 2 in file 6,2.163,5,1.1 1.1 1.2 0.8 1.0 1.0 1.2 1.0,383,406,1.0600522193211488
Problem 3 in file 6,2.067833,5,1.1 0.7 1.1 1.1 1.4 1.1 1.1 0.8,368,392,1.065217391304348
Problem 4 in file 6,2.432917,6,1.5 1.1 1.2 1.0 1.2 1.1 0.9 0.8,371,402,1.0835579514824798
Problem 5 in file 6,2.392292,6,1.1 1.1 1.5 1.1 0.6 1.1 1.2 1.0,390,425,1.0897435897435896
Problem 1 in file 7,2.6003749999999997,5,1.1 0.9 1.2 1.0 1.1 1.0 1.1 1.0,467,488,1.044967880085653
